Pos,Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
12,Araucania,1014343,31842,2022-04-11,60,15,29,104,10,2529420521461,214246,2,2537,1,18415279631825,628,1,11319,211111,2020-03-16,757,14,1568,1472410,6,63265306122449,0,2,174,35,940132,915340,718513,137572,28859
13,Los Rios,405835,18429,2022-04-11,17,2,24,43,10,5954390331046,105401,0,1205,1,14325291031394,302,0,6034,103857,2020-03-16,757,3,643,781368,6,68740279937792,0,1,120,19,377330,367392,298872,59538,13139
14,Los Lagos,891440,48583,2022-04-11,32,12,15,59,6,61850489096294,193207,0,2293,1,18681000170801,402,0,16330,190380,2020-03-07,766,22,1494,2335423,3,94912985274431,0,2,110,17,819893,795837,638231,108506,38118
15,Aysen,107297,108494,2022-04-11,9,4,0,13,12,1159025881432,24744,0,178,0,719366311024895,107,0,1794,24437,2020-03-14,759,2,117,259056,11,1111111111111,0,1,25,2,93427,91006,78563,13753,10702
16,Magallanes,178362,132033,2022-04-11,12,2,4,18,10,0918357049147,50898,0,701,1,37726433258674,145,0,3294,49989,2020-03-17,756,3,311,456225,5,78778135048232,0,2,41,4,156078,153085,138791,32107,14991
17,Total,19458310,755839,2022-04-11,1151,302,756,2209,11,3524761400142,3514291,40,57081,1,62425365457784,15249,11,353902,3443716,2020-03-03,770,416,36062,32601631,6,12556153291553,0,30,2407,594,17319446,16846976,13771416,2789749,574538
1,Arica y Parinacota,252110,16873,2022-04-10,13,7,5,25,9,91630637420174,55124,0,807,1,46397213554894,205,0,3439,54073,2020-03-19,753,2,424,625732,5,89622641509434,0,1,24,7,223418,213331,164533,27070,10223
2,Tarapaca,382773,42225,2022-04-10,17,2,1,20,5,22502893359772,79213,0,1084,1,36846224735839,122,0,10387,77984,2020-03-23,749,3,1037,896620,1,92864030858245,0,2,147,55,341879,321695,246332,31921,18960
3,Antofagasta,691854,126049,2022-04-10,25,56,18,99,14,3093774119973,121905,0,1746,1,43226282761166,466,0,6812,119668,2020-03-14,758,16,2420,1622537,4,09090909090909,0,2,87,25,629101,607879,483624,66744,21121
4,Atacama,314709,75176,2022-04-10,15,13,14,42,13,3456621831597,65263,0,577,0,884115042213812,274,0,1739,64439,2020-03-14,758,5,826,719660,5,08474576271187,0,1,30,4,300473,289655,226043,36593,7369
5,Coquimbo,836096,40579,2022-04-10,66,18,25,109,13,0367804654011,124961,3,1656,1,32521346660158,633,0,9374,122692,2020-03-19,753,12,1797,1092444,6,06566499721758,0,1,95,24,773400,750993,599273,106145,24165
6,Valparaiso,1960170,16396,2022-04-10,176,42,110,328,16,733242524883,301692,3,5525,1,83133792079339,1572,0,50179,295003,2020-03-16,756,44,3662,2634154,8,95685417804478,0,1,204,17,1822999,1773880,1448907,329085,51447
7,Metropolitana,8125072,15403,2022-04-10,629,183,449,1261,15,5198624701418,1341500,17,28086,2,09362653745807,6747,7,161465,1308290,2020-03-04,768,222,20893,12461820,6,0355142870818,0,3,526,119,6816280,6636089,5479019,1130800,225747
8,OHiggins,991063,16387,2022-04-10,83,44,4,131,13,2181304316678,148340,0,2485,1,67520560873669,731,0,14788,145298,2020-03-19,753,13,1159,1173995,11,3028472821398,0,1,24,15,953915,930583,758869,149459,23348
9,Maule,1131939,30296,2022-04-10,150,40,27,217,19,1706443545103,236883,3,2858,1,20650278829633,1056,1,10639,232981,2020-03-03,769,17,3011,1781130,7,20690800398539,0,4,291,77,1066210,1039776,854636,167013,31169
10,Nuble,511551,13178,2022-04-10,40,10,28,78,15,2477465589941,99063,3,1082,1,09223423477989,483,1,10174,97472,2020-03-12,760,9,973,789124,8,01644398766701,0,3,88,23,495233,485508,404807,84743,11284
11,Biobio,1663696,23890,2022-04-10,192,56,109,357,21,4582471797732,349789,6,4221,1,20672748428338,1871,1,35930,343572,2020-03-09,763,35,4229,3468004,8,4417119886498,0,3,421,174,1507991,1471722,1218076,252912,43896
12,Araucania,1014343,31842,2022-04-10,89,28,53,170,16,759616816008,214136,4,2535,1,18382710053424,673,1,11306,210963,2020-03-16,756,16,2138,1470842,7,95135640785781,0,2,174,45,940035,915124,717466,135107,28859
13,Los Rios,405835,18429,2022-04-10,22,13,24,59,14,5379279756551,105356,1,1205,1,14374122024374,314,0,6031,103804,2020-03-16,756,3,704,780725,8,38068181818182,0,1,120,22,377271,367295,298472,58573,13138
14,Los Lagos,891440,48583,2022-04-10,49,34,19,102,11,4421609979359,193147,3,2293,1,18717867738044,427,0,16319,190302,2020-03-07,765,21,2171,2333929,4,69829571625979,0,2,110,17,819801,795687,637462,106697,38118
15,Aysen,107297,108494,2022-04-10,10,16,1,27,25,1637976830666,24731,0,178,0,719744450285067,105,0,1792,24426,2020-03-14,758,2,276,258939,9,78260869565217,0,1,25,3,93419,90986,78514,13518,10702
16,Magallanes,178362,132033,2022-04-10,17,5,10,32,17,9410412531817,50874,1,701,1,37791406219287,158,0,3289,49952,2020-03-17,755,3,457,455914,7,00218818380744,0,2,41,6,156073,153062,138697,31458,14991
17,Total,19458310,755839,2022-04-10,1593,567,897,3057,15,7105113445104,3512020,44,57041,1,62416501044983,15837,11,353663,3440961,2020-03-03,769,423,46177,32565569,6,62017887693007,0,30,2407,633,17317498,16843265,13754730,2727838,574537
1,Arica y Parinacota,252110,16873,2022-04-09,14,10,2,26,10,3129586291698,55099,0,807,1,46463638178551,194,0,3439,54059,2020-03-19,752,1,656,625308,3,96341463414634,0,1,24,10,223418,213330,164533,27068,10223
2,Tarapaca,382773,42225,2022-04-09,7,6,4,17,4,44127459355806,79193,0,1084,1,36880784917859,132,1,10395,77955,2020-03-23,748,3,784,895583,2,16836734693878,0,2,147,55,341877,321693,246327,31917,18960
3,Antofagasta,691854,126049,2022-04-09,43,32,18,93,13,4421424173308,121805,0,1746,1,4334386929929,414,0,6821,119623,2020-03-14,757,17,1551,1620117,5,99613152804642,0,2,87,20,629101,607878,483620,66739,21121
4,Atacama,314709,75176,2022-04-09,30,34,12,76,24,1492934742889,65222,0,577,0,884670816595627,267,0,1744,64405,2020-03-14,757,4,1054,718834,7,21062618595825,0,1,30,2,300473,289655,226043,36592,7369
5,Coquimbo,836096,40579,2022-04-09,86,24,42,152,18,1797305572566,124845,1,1653,1,32404181184669,636,0,9381,122575,2020-03-19,752,12,1842,1090647,8,25190010857763,0,1,95,36,773400,750991,599262,106130,24165
6,Valparaiso,1960170,16396,2022-04-09,168,48,91,307,15,6619068754241,301293,7,5522,1,83276743900456,1552,1,50199,294630,2020-03-16,755,47,3817,2630492,8,04296567985329,0,1,204,19,1822998,1773879,1448905,329084,51447
7,Metropolitana,8125072,15403,2022-04-09,859,207,362,1428,17,575228871818,1340149,14,28069,2,09446860013327,6471,4,161560,1307256,2020-03-04,767,234,18590,12440927,7,68154922001076,0,3,526,107,6816273,6636081,5478939,1130697,225747
8,OHiggins,991063,16387,2022-04-09,103,37,15,155,15,6397726481566,148209,2,2485,1,67668630110182,743,1,14803,145158,2020-03-19,752,13,1186,1172836,13,0691399662732,0,1,24,15,953915,930582,758868,149458,23348
9,Maule,1131939,30296,2022-04-09,194,27,11,232,20,4958041025179,236665,7,2855,1,20634652356707,1133,0,10643,232691,2020-03-03,768,25,2457,1778119,9,44240944240944,0,4,291,81,1066210,1039776,854635,167013,31169
10,Nuble,511551,13178,2022-04-09,63,14,36,113,22,0896841175171,98985,2,1079,1,09006415113401,510,2,10181,97373,2020-03-12,759,10,889,788151,12,710911136108,0,3,88,19,495227,485500,404774,84689,11284
11,Biobio,1663696,23890,2022-04-09,220,69,94,383,23,0210326886643,349434,4,4215,1,20623637081681,1849,3,35964,343255,2020-03-09,762,34,4088,3463775,9,36888454011742,0,3,421,168,1507991,1471722,1218073,252909,43896
12,Araucania,1014343,31842,2022-04-09,103,14,50,167,16,4638588721961,213968,0,2531,1,18288716069693,677,1,11318,210798,2020-03-16,755,15,2137,1468704,7,81469349555452,0,2,174,46,940035,915124,717466,135107,28859
13,Los Rios,405835,18429,2022-04-09,28,15,28,71,17,494794682568,105292,1,1204,1,14348668464841,322,0,6034,103735,2020-03-16,755,2,874,780021,8,12356979405034,0,1,120,20,377271,367295,298472,58573,13138
14,Los Lagos,891440,48583,2022-04-09,41,37,25,103,11,5543390469353,192810,3,2290,1,18769773352005,424,0,16328,189975,2020-03-07,764,20,2305,2331758,4,46854663774404,0,2,110,16,819801,795687,637460,106697,38118
15,Aysen,107297,108494,2022-04-09,4,8,0,12,11,1839100813629,24703,0,178,0,720560255839372,91,0,1794,24412,2020-03-14,757,3,268,258663,4,47761194029851,0,1,25,3,93419,90986,78514,13518,10702
16,Magallanes,178362,132033,2022-04-09,21,3,9,33,18,5016987923437,50841,1,700,1,37684152554041,166,0,3295,49913,2020-03-17,754,3,505,455457,6,53465346534654,0,2,41,3,156073,153062,138697,31458,14991
17,Total,19458310,755839,2022-04-09,1984,585,799,3368,17,3088001989895,3508556,42,56997,1,62451447262065,15581,13,353899,3437855,2020-03-03,768,443,43003,32519392,7,83201172011255,0,30,2407,620,17317482,16843241,13754588,2727649,574537
1,Arica y Parinacota,252110,16873,2022-04-08,13,21,1,35,13,8828289238824,55084,0,807,1,46503521893835,188,0,3439,54051,2020-03-19,751,1,537,624652,6,51769087523278,0,1,24,8,223410,213312,164423,26981,10223
2,Tarapaca,382773,42225,2022-04-08,19,8,7,34,8,88254918711612,79175,0,1084,1,36911904010104,141,0,10394,77929,2020-03-23,747,3,1327,894799,2,5621703089676,0,4,263,57,341850,321651,246215,31834,18960
3,Antofagasta,691854,126049,2022-04-08,43,39,29,111,16,0438474013303,121698,0,1746,1,43469900902233,417,0,6821,119515,2020-03-14,756,18,1851,1618566,5,9967585089141,0,2,87,15,629101,607876,483596,66693,21121
4,Atacama,314709,75176,2022-04-08,30,20,17,67,21,2895087207547,65142,0,577,0,885757268735992,264,1,1744,64329,2020-03-14,756,5,831,717780,8,06257521058965,0,1,30,4,300461,289649,225997,36559,7369
5,Coquimbo,836096,40579,2022-04-08,75,27,54,156,18,6581445192896,124689,3,1652,1,32489634209914,672,0,9381,122386,2020-03-19,751,13,1621,1088805,9,62368908081431,0,1,95,35,773392,750973,599158,106053,24165
6,Valparaiso,1960170,16396,2022-04-08,256,46,123,425,21,6817929057174,300974,2,5515,1,83238419265452,1567,0,50198,294305,2020-03-16,754,52,4290,2626675,9,90675990675991,0,1,204,16,1822993,1773863,1448695,328890,51447
7,Metropolitana,8125072,15403,2022-04-08,879,206,469,1554,19,1259843605078,1338521,12,28055,2,09597010431663,6277,7,161557,1305856,2020-03-04,766,241,19776,12422337,7,85800970873786,0,3,526,97,6816138,6635835,5476124,1127897,225747
